moneyLabel;Okane
moneyLabelPlural;Okanes
battleInitInstructionsSelectionPhase;Adjust battlers position by pressing <color="yellow">X</color>, then by chosing the battler to swap with.<br>Press <color="yellow">Start</color> once you are ready.
battleInitInstructionsConfirmPositionChange;Confirm position swap with <color="yellow">X</color>, or press <color="yellow">Cancel</color> to cancel the operation.
battleStart;Battle Start!!!
newGameLabel;New Game
loadGameLabel;Load Game
titleScreenOptionsLabel;Options
exitLabel;Exit
language;Language
musicVolume;Music Volume
soundVolume;Sound Volume
backButton;Back
items;Items
equipment;Equipment
abilities;Abilities
status;Status
quests;Quests
system;System
effects;Effects
levelShort;Lv.
consumables;Consumables
consumable;Consumable
resources;Resources
weapons;Weapons
armours;Armours
accessories;Accessories
keyItems;Key Items
rightHand;Right Hand
leftHand;Left Hand
head;Head
body;Body
shield;Shield
accessory;Accessory
health;Health
mana;Mana
essence;Essence
strength;Strength
defense;Defense
magic;Magic
magicDefense;Magic Defense
agility;Agility
luck;Luck
critChance;Crit. Chance
evasion;Evasion
parry;Parry
provocation;Provocation
accuracy;Accuracy
critDmg;Crit. Damage
maxHealth;Max Health
maxMana;Max Mana
maxEssence;Max Essence
affinities;Affinities
neutral;Neutral
fire;Fire
ice;Ice
thunder;Thunder
water;Water
earth;Earth
wind;Wind
holy;Holy
darkness;Darkness
healing;Healing
essenceAffinity;Essence Affinity
poison;Poison
bleedI;Bleed I
bleedII;Bleed II
bleedIII;Bleed III
hemoI;Hemorrhage I
breakI;Break I
breakII;Break II
breakIII;Break III
magicBreakI;Magic Break I
magicBreakII;Magic Break II
magicBreakIII;Magic Break III
slowI;Slow I
slowII;Slow II
slowIII;Slow III
blind;Blind
silence;Silence
shell;Shell
protect;Protect
regen;Regen
manaRegen;Mana Regen
bravery;Bravery
faith;Faith
grounded;Grounded
human;Human
undead;Undead
sword;Sword
dagger;Dagger
spear;Spear
axe;Axe
bow;Bow
claws;Claws
scepter;Scepter
staff;Staff
grimoire;Grimoire
scythe;Scythe
fist;Fist
firearm;Firearm
arbalest;Arbalest
mace;Mace
inStock;Prossessed:
buy;Buy
sell;Sell
leave;Leave
wishToBuy;How many do you wish to buy?
wishToSell;How many do you wish to sell?
inventory;Inventory
statistics;Statistics
createSaveTooltip;Select a slot to create the save file.
loadSaveTooltip;Select the save file to load.
noSaveData;No save data
informationLabel;Information
warningLabel;Warning
msgBoxOk;Ok
msgBoxCancel;Cancel
msgBoxYes;Yes
msgBoxNo;No
noEquipment;Empty
exitGameConfirmation;Unsaved data will be lost. Are you sure you want to close the game?
returnToTitleConfirmation;Unsaved data will be lost. Are you sure you want to go back to the title screen?
saveDataAlreadyExists;Save data already exists in this slot. Are you sure you wish to replace it?
systemMenuSaveGame;Save game
systemMenuLoadGame;Load game
systemMenuEditLanguage;Language
systemMenuEditMusicVolume;Music volume
systemMenuEditSfxVolume;Sound volume
systemMenuReturnToTitle;Return to title
systemMenuExitGame;Exit game
haalmikahFortress;Bastion of Haalmikah
haalmikahBarmaid;Barmaid
haalmikahBarmaidLine1;Greetings my Lord. How can I help you?
haalmikahBarmaidLine2;The pleasure is mine.
haalmikahBarracksSoldier1;Soldier
haalmikahBarracksSoldier1Line1;Our walls are strong, but our weak point remains the skies.
haalmikahBarracksSoldier2;Soldier
haalmikahBarracksSoldier2Line1;The fortress is surrounded by forests and the Gornich Bay protects us north. They can only attack from the west and the skies.
haalmikahBarracksSoldier3;Soldier
haalmikahBarracksSoldier3Line1;We must remain ready at all times. We are in charge of protecting the royal palace.
haalmikahBarracksSoldier4;Soldier
haalmikahBarracksSoldier4Line1;We are preparing a new defensive strategy in case of an attack from Ulyomnis.
haalmikahBarracksSoldier5;Soldier
haalmikahBarracksSoldier5Line1;There is no immediate threat, but we better be prepared!
haalmikahBarracksSoldierNearStairs;Soldier
haalmikahBarracksSoldierNearStairsLine1;Sire, if you need to rest, beds are available downstairs.
haalmikahDiceAddict;Dice addict
haalmikahDiceAddictLine1;This place is so damn dead! Boring as hell! I'm not here to gossip, I wanna play dice!
haalmikahDrunkard;Drunkard
haalmikahDrunkardLine1;Hi, my Lord. Please enjoy a lil' glass with us! Tell us about dae gossip from the castle.
haalmikahDrunkardLine2;I'm sorry but I can't join right now. Captain Warlok is waiting for me.
haalmikahDrunkardLine3;Ain't no worries! Please, come back next time to enjoy a few pints with your fellas!
haalmikahHouseYoungGirl;Young girl
haalmikahHouseYoungGirlLine1;Mum spends all day either at the well, or with her face burried in a book. Is that how I will be as an adult too?
huntersClanHunter1;Hunter
huntersClanHunter1Line1;We complement the militia in protecting the fortress and its inhabitants. They are better at fighting armies, while we excel at vanquishing monsters.
huntersClanHunter1Line2;Our techniques are also more diverse and refined, as we have fought a plethora of different opponents.
huntersClanHunter2;Huntress
